OrderID;ProductID;ProductName;CategoryName;CategoryID;Qty;Month
10808;56;Gnocchi di nonna Alice;Grains/Cereals;5;20;1
10808;76;Lakkalikööri;Beverages;1;50;1
10809;52;Filo Mix;Grains/Cereals;5;20;1
10810;13;Konbu;Seafood;8;7;1
10810;25;NuNuCa Nuß-Nougat-Creme;Confections;3;5;1
10810;70;Outback Lager;Beverages;1;5;1
10811;19;Teatime Chocolate Biscuits;Confections;3;15;1
10811;23;Tunnbröd;Grains/Cereals;5;18;1
10811;40;Boston Crab Meat;Seafood;8;30;1
10812;31;Gorgonzola Telino;Dairy Products;4;16;1
10812;72;Mozzarella di Giovanni;Dairy Products;4;40;1
10812;77;Original Frankfurter grüne Soße;Condiments;2;20;1
10813;2;Chang;Beverages;1;12;1
10813;46;Spegesild;Seafood;8;35;1
10814;41;Jack's New England Clam Chowder;Seafood;8;20;1
10814;43;Ipoh Coffee;Beverages;1;20;1
10814;48;Chocolade;Confections;3;8;1
10814;61;Sirop d'érable;Condiments;2;30;1
10815;33;Geitost;Dairy Products;4;16;1
10816;38;Côte de Blaye;Beverages;1;30;1
10816;62;Tarte au sucre;Confections;3;20;1
10817;26;Gumbär Gummibärchen;Confections;3;40;1
10817;38;Côte de Blaye;Beverages;1;30;1
10817;40;Boston Crab Meat;Seafood;8;60;1
10817;62;Tarte au sucre;Confections;3;25;1
10818;32;Mascarpone Fabioli;Dairy Products;4;20;1
10818;41;Jack's New England Clam Chowder;Seafood;8;20;1
10819;43;Ipoh Coffee;Beverages;1;7;1
10819;75;Rhönbräu Klosterbier;Beverages;1;20;1
10820;56;Gnocchi di nonna Alice;Grains/Cereals;5;30;1
10821;35;Steeleye Stout;Beverages;1;20;1
10821;51;Manjimup Dried Apples;Produce;7;6;1
10822;62;Tarte au sucre;Confections;3;3;1
10822;70;Outback Lager;Beverages;1;6;1
10823;11;Queso Cabrales;Dairy Products;4;20;1
10823;57;Ravioli Angelo;Grains/Cereals;5;15;1
10823;59;Raclette Courdavault;Dairy Products;4;40;1
10823;77;Original Frankfurter grüne Soße;Condiments;2;15;1
10824;41;Jack's New England Clam Chowder;Seafood;8;12;1
10824;70;Outback Lager;Beverages;1;9;1
10825;26;Gumbär Gummibärchen;Confections;3;12;1
10825;53;Perth Pasties;Meat/Poultry;6;20;1
10826;31;Gorgonzola Telino;Dairy Products;4;35;1
10826;57;Ravioli Angelo;Grains/Cereals;5;15;1
10827;10;Ikura;Seafood;8;15;1
10827;39;Chartreuse verte;Beverages;1;21;1
10828;20;Sir Rodney's Marmalade;Confections;3;5;1
10828;38;Côte de Blaye;Beverages;1;2;1
10829;2;Chang;Beverages;1;10;1
10829;8;Northwoods Cranberry Sauce;Condiments;2;20;1
10829;13;Konbu;Seafood;8;10;1
10829;60;Camembert Pierrot;Dairy Products;4;21;1
10830;6;Grandma's Boysenberry Spread;Condiments;2;6;1
10830;39;Chartreuse verte;Beverages;1;28;1
10830;60;Camembert Pierrot;Dairy Products;4;30;1
10830;68;Scottish Longbreads;Confections;3;24;1
10831;19;Teatime Chocolate Biscuits;Confections;3;2;1
10831;35;Steeleye Stout;Beverages;1;8;1
10831;38;Côte de Blaye;Beverages;1;8;1
10831;43;Ipoh Coffee;Beverages;1;9;1
10832;13;Konbu;Seafood;8;3;1
10832;25;NuNuCa Nuß-Nougat-Creme;Confections;3;10;1
10832;44;Gula Malacca;Condiments;2;16;1
10832;64;Wimmers gute Semmelknödel;Grains/Cereals;5;3;1
10833;7;Uncle Bob's Organic Dried Pears;Produce;7;20;1
10833;31;Gorgonzola Telino;Dairy Products;4;9;1
10833;53;Perth Pasties;Meat/Poultry;6;9;1
10834;29;Thüringer Rostbratwurst;Meat/Poultry;6;8;1
10834;30;Nord-Ost Matjeshering;Seafood;8;20;1
10835;59;Raclette Courdavault;Dairy Products;4;15;1
10835;77;Original Frankfurter grüne Soße;Condiments;2;2;1
10836;22;Gustaf's Knäckebröd;Grains/Cereals;5;52;1
10836;35;Steeleye Stout;Beverages;1;6;1
10836;57;Ravioli Angelo;Grains/Cereals;5;24;1
10836;60;Camembert Pierrot;Dairy Products;4;60;1
10836;64;Wimmers gute Semmelknödel;Grains/Cereals;5;30;1
10837;13;Konbu;Seafood;8;6;1
10837;40;Boston Crab Meat;Seafood;8;25;1
10837;47;Zaanse koeken;Confections;3;40;1
10837;76;Lakkalikööri;Beverages;1;21;1
10838;1;Chai;Beverages;1;4;1
10838;18;Carnarvon Tigers;Seafood;8;25;1
10838;36;Inlagd Sill;Seafood;8;50;1
10839;58;Escargots de Bourgogne;Seafood;8;30;1
10839;72;Mozzarella di Giovanni;Dairy Products;4;15;1
10840;25;NuNuCa Nuß-Nougat-Creme;Confections;3;6;1
10840;39;Chartreuse verte;Beverages;1;10;1
10841;10;Ikura;Seafood;8;16;1
10841;56;Gnocchi di nonna Alice;Grains/Cereals;5;30;1
10841;59;Raclette Courdavault;Dairy Products;4;50;1
10841;77;Original Frankfurter grüne Soße;Condiments;2;15;1
10842;11;Queso Cabrales;Dairy Products;4;15;1
10842;43;Ipoh Coffee;Beverages;1;5;1
10842;68;Scottish Longbreads;Confections;3;20;1
10842;70;Outback Lager;Beverages;1;12;1
10843;51;Manjimup Dried Apples;Produce;7;4;1
10844;22;Gustaf's Knäckebröd;Grains/Cereals;5;35;1
10845;23;Tunnbröd;Grains/Cereals;5;70;1
10845;35;Steeleye Stout;Beverages;1;25;1
10845;42;Singaporean Hokkien Fried Mee;Grains/Cereals;5;42;1
10845;58;Escargots de Bourgogne;Seafood;8;60;1
10845;64;Wimmers gute Semmelknödel;Grains/Cereals;5;48;1
10846;4;Chef Anton's Cajun Seasoning;Condiments;2;21;1
10846;70;Outback Lager;Beverages;1;30;1
10846;74;Longlife Tofu;Produce;7;20;1
10847;1;Chai;Beverages;1;80;1
10847;19;Teatime Chocolate Biscuits;Confections;3;12;1
10847;37;Gravad lax;Seafood;8;60;1
10847;45;Rogede sild;Seafood;8;36;1
10847;60;Camembert Pierrot;Dairy Products;4;45;1
10847;71;Flotemysost;Dairy Products;4;55;1
10848;5;Chef Anton's Gumbo Mix;Condiments;2;30;1
10848;9;Mishi Kobe Niku;Meat/Poultry;6;3;1
10849;3;Aniseed Syrup;Condiments;2;49;1
10849;26;Gumbär Gummibärchen;Confections;3;18;1
10850;25;NuNuCa Nuß-Nougat-Creme;Confections;3;20;1
10850;33;Geitost;Dairy Products;4;4;1
10850;70;Outback Lager;Beverages;1;30;1
10851;2;Chang;Beverages;1;5;1
10851;25;NuNuCa Nuß-Nougat-Creme;Confections;3;10;1
10851;57;Ravioli Angelo;Grains/Cereals;5;10;1
10851;59;Raclette Courdavault;Dairy Products;4;42;1
10852;2;Chang;Beverages;1;15;1
10852;17;Alice Mutton;Meat/Poultry;6;6;1
10852;62;Tarte au sucre;Confections;3;50;1
10853;18;Carnarvon Tigers;Seafood;8;10;1
10854;10;Ikura;Seafood;8;100;1
10854;13;Konbu;Seafood;8;65;1
10855;16;Pavlova;Confections;3;50;1
10855;31;Gorgonzola Telino;Dairy Products;4;14;1
10855;56;Gnocchi di nonna Alice;Grains/Cereals;5;24;1
10855;65;Louisiana Fiery Hot Pepper Sauce;Condiments;2;15;1
10856;2;Chang;Beverages;1;20;1
10856;42;Singaporean Hokkien Fried Mee;Grains/Cereals;5;20;1
10857;3;Aniseed Syrup;Condiments;2;30;1
10857;26;Gumbär Gummibärchen;Confections;3;35;1
10857;29;Thüringer Rostbratwurst;Meat/Poultry;6;10;1
10858;7;Uncle Bob's Organic Dried Pears;Produce;7;5;1
10858;27;Schoggi Schokolade;Confections;3;10;1
10858;70;Outback Lager;Beverages;1;4;1
10859;24;Guaraná Fantástica;Beverages;1;40;1
10859;54;Tourtière;Meat/Poultry;6;35;1
10859;64;Wimmers gute Semmelknödel;Grains/Cereals;5;30;1
10860;51;Manjimup Dried Apples;Produce;7;3;1
10860;76;Lakkalikööri;Beverages;1;20;1
10861;17;Alice Mutton;Meat/Poultry;6;42;1
10861;18;Carnarvon Tigers;Seafood;8;20;1
10861;21;Sir Rodney's Scones;Confections;3;40;1
10861;33;Geitost;Dairy Products;4;35;1
10861;62;Tarte au sucre;Confections;3;3;1
10862;11;Queso Cabrales;Dairy Products;4;25;1
10862;52;Filo Mix;Grains/Cereals;5;8;1
10863;1;Chai;Beverages;1;20;2
10863;58;Escargots de Bourgogne;Seafood;8;12;2
10864;35;Steeleye Stout;Beverages;1;4;2
10864;67;Laughing Lumberjack Lager;Beverages;1;15;2
10865;38;Côte de Blaye;Beverages;1;60;2
10865;39;Chartreuse verte;Beverages;1;80;2
10866;2;Chang;Beverages;1;21;2
10866;24;Guaraná Fantástica;Beverages;1;6;2
10866;30;Nord-Ost Matjeshering;Seafood;8;40;2
10867;53;Perth Pasties;Meat/Poultry;6;3;2
10868;26;Gumbär Gummibärchen;Confections;3;20;2
10868;35;Steeleye Stout;Beverages;1;30;2
10868;49;Maxilaku;Confections;3;42;2
10869;1;Chai;Beverages;1;40;2
10869;11;Queso Cabrales;Dairy Products;4;10;2
10869;23;Tunnbröd;Grains/Cereals;5;50;2
10869;68;Scottish Longbreads;Confections;3;20;2
10870;35;Steeleye Stout;Beverages;1;3;2
10870;51;Manjimup Dried Apples;Produce;7;2;2
10871;6;Grandma's Boysenberry Spread;Condiments;2;50;2
10871;16;Pavlova;Confections;3;12;2
10871;17;Alice Mutton;Meat/Poultry;6;16;2
10872;55;Pâté chinois;Meat/Poultry;6;10;2
10872;62;Tarte au sucre;Confections;3;20;2
10872;64;Wimmers gute Semmelknödel;Grains/Cereals;5;15;2
10872;65;Louisiana Fiery Hot Pepper Sauce;Condiments;2;21;2
10873;21;Sir Rodney's Scones;Confections;3;20;2
